gene_id	lib_1	lib_2	lib_3	lib_4	lib_5
gene_1	0	0	0	0	0
gene_2	0	0	0	0	0
gene_3	0	0	0	0	0
gene_4	0	0	0	0	0
gene_5	0	0	0	0	0
gene_6	0	0	0	0	0
gene_7	0	0	0	0	0
gene_8	0	0	0	0	0
gene_9	0	0	0	0	0
gene_10	0	0	0	0	0
gene_11	0	0	0	0	0
gene_12	0	0	0	0	0
gene_13	0	0	0	0	0
gene_14	0	0	0	0	0
gene_15	0	0	0	0	0
gene_16	0	0	0	0	0
gene_17	0	0	0	0	0
gene_18	0	0	0	0	0
gene_19	0	0	0	0	0
gene_20	0	0	0	0	0
gene_21	0	0	0	0	0
gene_22	0	0	0	0	0
gene_23	0	0	0	0	0
gene_24	0	0	0	0	0
gene_25	0	0	0	0	0
gene_26	0	0	0	0	0
gene_27	0	0	0	0	0
gene_28	0	0	0	0	0
gene_29	0	0	0	0	0
gene_30	0	0	0	0	0
gene_31	0	0	0	0	0
gene_32	0	0	0	0	0
gene_33	0	0	0	0	0
gene_34	0	0	0	0	0
gene_35	0	0	0	0	0
gene_36	0	0	0	0	0
gene_37	0	0	0	0	0
gene_38	0	0	0	0	0
gene_39	0	0	0	0	0
gene_40	0	0	0	0	0
gene_41	0	0	0	0	0
gene_42	0	0	0	0	0
gene_43	0	0	0	0	0
gene_44	0	0	0	0	0
gene_45	0	0	0	0	0
gene_46	0	0	0	0	0
gene_47	0	0	0	0	0
gene_48	0	0	0	0	0
gene_49	0	0	0	0	0
gene_50	0	0	0	0	0
gene_51	0	0	0	0	0
gene_52	0	0	0	0	0
gene_53	0	0	0	0	0
gene_54	0	0	0	0	0
gene_55	0	0	0	0	0
gene_56	0	0	0	0	0
gene_57	0	0	0	0	0
gene_58	0	0	0	0	0
gene_59	0	0	0	0	0
gene_60	0	0	0	0	0
gene_61	0	0	0	0	0
gene_62	0	0	0	0	0
gene_63	0	0	0	0	0
gene_64	0	0	0	0	0
gene_65	0	0	0	0	0
gene_66	0	0	0	0	0
gene_67	0	0	0	0	0
gene_68	0	0	0	0	0
gene_69	0	0	0	0	0
gene_70	0	0	0	0	0
gene_71	0	0	0	0	0
gene_72	0	0	0	0	0
gene_73	0	0	0	0	0
gene_74	0	0	0	0	0
gene_75	0	0	0	0	0
gene_76	0	0	0	0	0
gene_77	0	0	0	0	0
gene_78	0	0	0	0	0
gene_79	0	0	0	0	0
gene_80	0	0	0	0	0
gene_81	0	0	0	0	0
gene_82	0	0	0	0	0
gene_83	0	0	0	0	0
gene_84	0	0	0	0	0
gene_85	0	0	0	0	0
gene_86	0	0	0	0	0
gene_87	0	0	0	0	0
gene_88	0	0	0	0	0
gene_89	0	0	0	0	0
gene_90	0	0	0	0	0
gene_91	0	0	0	0	0
gene_92	0	0	0	0	0
gene_93	0	0	0	0	0
gene_94	0	0	0	0	0
gene_95	0	0	0	0	0
gene_96	0	0	0	0	0
gene_97	0	0	0	0	0
gene_98	0	0	0	0	0
gene_99	0	0	0	0	0
gene_100	0	0	0	0	0
gene_101	0	0	0	0	0
gene_102	0	0	0	0	0
